question_id,corpus_id,relevance_label,gold_order,document_code,article_number,unit_number,answer_source,validation_decision,support_type
Q001,UZLLC-CON-A42-U01,primary,1,CON,42,1,"Oʻzbekiston Respublikasi Konstitutsiyasi, 42-modda, U01",validated_consistent,direct_textual_support
Q002,UZLLC-CON-A42-U02,primary,1,CON,42,2,"Oʻzbekiston Respublikasi Konstitutsiyasi, 42-modda, U02",validated_consistent,direct_textual_support
Q003,UZLLC-CON-A42-U03,primary,1,CON,42,3,"Oʻzbekiston Respublikasi Konstitutsiyasi, 42-modda, U03",validated_consistent,direct_textual_support
Q004,UZLLC-LC-A2-U01,primary,1,LC,2,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 2-modda, U01",validated_consistent,direct_textual_support
Q005,UZLLC-LC-A3-U01,primary,1,LC,3,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 3-modda, U01",validated_consistent,direct_textual_support
Q006,UZLLC-LC-A4-U01,primary,1,LC,4,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 4-modda, U01",validated_consistent,direct_textual_support
Q007,UZLLC-LC-A5-U01,primary,1,LC,5,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 5-modda, U01",validated_consistent,direct_textual_support
Q008,UZLLC-LC-A10-U01,primary,1,LC,10,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 10-modda, U01",validated_consistent,direct_textual_support
Q009,UZLLC-LC-A11-U01,primary,1,LC,11,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 11-modda, U01",validated_consistent,direct_textual_support
Q010,UZLLC-LC-A19-U01,primary,1,LC,19,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 19-modda, U01",validated_consistent,direct_textual_support
Q011,UZLLC-LC-A20-U01,primary,1,LC,20,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 20-modda, U01",validated_consistent,direct_textual_support
Q012,UZLLC-LC-A21-U01,primary,1,LC,21,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 21-modda, U01",validated_consistent,direct_textual_support
Q013,UZLLC-LC-A22-U01,primary,1,LC,22,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 22-modda, U01",validated_consistent,direct_textual_support
Q014,UZLLC-LC-A24-U01,primary,1,LC,24,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 24-modda, U01",validated_consistent,direct_textual_support
Q015,UZLLC-LC-A25-U01,primary,1,LC,25,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 25-modda, U01",validated_consistent,direct_textual_support
Q016,UZLLC-LC-A103-U01,primary,1,LC,103,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 103-modda, U01",validated_consistent,direct_textual_support
Q017,UZLLC-LC-A104-U01,primary,1,LC,104,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 104-modda, U01",validated_consistent,direct_textual_support
Q018,UZLLC-LC-A105-U01,primary,1,LC,105,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 105-modda, U01",validated_consistent,direct_textual_support
Q019,UZLLC-LC-A106-U01,primary,1,LC,106,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 106-modda, U01",validated_consistent,direct_textual_support
Q020,UZLLC-LC-A108-U01,primary,1,LC,108,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 108-modda, U01",validated_consistent,direct_textual_support
Q021,UZLLC-LC-A110-U01,primary,1,LC,110,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 110-modda, U01",validated_consistent,direct_textual_support
Q022,UZLLC-LC-A112-U01,primary,1,LC,112,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 112-modda, U01",validated_consistent,direct_textual_support
Q023,UZLLC-LC-A113-U01,primary,1,LC,113,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 113-modda, U01",validated_consistent,direct_textual_support
