question_id,question_text,question_type,legal_topic,split,answerability,initial_gold_corpus_ids,validated_gold_corpus_ids,validation_decision,issue_type,support_type,recommended_action,validation_notes,validator_role,legal_expert_validated
Q001,Konstitutsiyada munosib mehnat qilish va kasb tanlash huquqi qanday kafolatlangan?,terminology,constitutional_labor_rights,dev,answerable,UZLLC-CON-A42-U01,UZLLC-CON-A42-U01,validated_consistent,none,direct_textual_support,keep,"Gold unit belongs to Oʻzbekiston Respublikasi Konstitutsiyasi, 42-modda, U01 and contains the relevant provision.",model_assisted_internal_consistency_review,no
Q002,Mehnatga haq toʻlashning eng kam miqdori qanday mezon asosida belgilanadi?,terminology,constitutional_labor_rights,dev,answerable,UZLLC-CON-A42-U02,UZLLC-CON-A42-U02,validated_consistent,none,direct_textual_support,keep,"Gold unit belongs to Oʻzbekiston Respublikasi Konstitutsiyasi, 42-modda, U02 and contains the relevant provision.",model_assisted_internal_consistency_review,no
Q003,Homiladorligi yoki bolasi borligi sababli ayollarni ishga qabul qilishni rad etish mumkinmi?,terminology,constitutional_labor_rights,dev,answerable,UZLLC-CON-A42-U03,UZLLC-CON-A42-U03,validated_consistent,none,direct_textual_support,keep,"Gold unit belongs to Oʻzbekiston Respublikasi Konstitutsiyasi, 42-modda, U03 and contains the relevant provision.",model_assisted_internal_consistency_review,no
Q004,Mehnat kodeksining asosiy vazifalari nimalardan iborat?,terminology,labor_rights_principles,dev,answerable,UZLLC-LC-A2-U01,UZLLC-LC-A2-U01,validated_consistent,none,direct_textual_support,keep,Gold unit article title directly matches the question topic: Ushbu Kodeksning asosiy vazifalari.,model_assisted_internal_consistency_review,no
Q005,Yakka tartibdagi mehnat munosabatlarini tartibga solishning asosiy prinsiplari qaysilar?,terminology,labor_rights_principles,dev,answerable,UZLLC-LC-A3-U01,UZLLC-LC-A3-U01,validated_consistent,none,direct_textual_support,keep,Gold unit article title directly matches the question topic: Yakka tartibdagi mehnatga oid munosabatlarni va ular bilan bevosita bogʻliq boʻlgan ijtimoiy munosabatlarni huquqiy jihatdan tartibga solishning asosiy prinsiplari.,model_assisted_internal_consistency_review,no
Q006,Mehnat va mashgʻulotlar sohasida kamsitishni taqiqlash prinsipi qanday ifodalanadi?,terminology,labor_rights_principles,dev,answerable,UZLLC-LC-A4-U01,UZLLC-LC-A4-U01,validated_consistent,none,direct_textual_support,keep,"Gold unit article title directly matches the question topic: Mehnat huquqlarining tengligi, mehnat va mashgʻulotlar sohasida kamsitishni taqiqlash prinsipi.",model_assisted_internal_consistency_review,no
Q007,Mehnat erkinligi va majburiy mehnatni taqiqlash prinsipi nimani anglatadi?,terminology,labor_rights_principles,dev,answerable,UZLLC-LC-A5-U01,UZLLC-LC-A5-U01,validated_consistent,none,direct_textual_support,keep,Gold unit article title directly matches the question topic: Mehnat erkinligi va majburiy mehnatni taqiqlash prinsipi.,model_assisted_internal_consistency_review,no
Q008,Mehnat toʻgʻrisidagi qonunchilik tarkibiga nimalar kiradi?,terminology,labor_law_scope,dev,answerable,UZLLC-LC-A10-U01,UZLLC-LC-A10-U01,validated_consistent,none,direct_textual_support,keep,Gold unit article title directly matches the question topic: Mehnat toʻgʻrisidagi qonunchilik.,model_assisted_internal_consistency_review,no
Q009,Mehnat toʻgʻrisidagi qonunchilik qaysi munosabatlarga tatbiq etiladi?,terminology,labor_law_scope,dev,answerable,UZLLC-LC-A11-U01,UZLLC-LC-A11-U01,validated_consistent,none,direct_textual_support,keep,Gold unit article title directly matches the question topic: Mehnat toʻgʻrisidagi qonunchilikning amal qilish sohasi.,model_assisted_internal_consistency_review,no
Q010,Yakka tartibdagi mehnat munosabatlarining subyektlari kimlar hisoblanadi?,terminology,employment_subjects_rights_duties,dev,answerable,UZLLC-LC-A19-U01,UZLLC-LC-A19-U01,validated_consistent,none,direct_textual_support,keep,Gold unit article title directly matches the question topic: Xodim va ish beruvchi yakka tartibdagi mehnatga oid munosabatlarning subyektlari sifatida.,model_assisted_internal_consistency_review,no
Q011,Xodimning mehnatga oid huquq layoqati va muomala layoqati qachondan vujudga keladi?,terminology,employment_subjects_rights_duties,dev,answerable,UZLLC-LC-A20-U01,UZLLC-LC-A20-U01,validated_consistent,none,direct_textual_support,keep,Gold unit article title directly matches the question topic: Xodimning mehnatga oid huquq layoqati va muomala layoqati.,model_assisted_internal_consistency_review,no
Q012,Xodimning asosiy mehnat huquqlari qaysilar?,terminology,employment_subjects_rights_duties,dev,answerable,UZLLC-LC-A21-U01,UZLLC-LC-A21-U01,validated_consistent,none,direct_textual_support,keep,Gold unit article title directly matches the question topic: Xodimning huquqlari.,model_assisted_internal_consistency_review,no
Q013,Xodimning asosiy mehnat majburiyatlari qaysilar?,terminology,employment_subjects_rights_duties,test,answerable,UZLLC-LC-A22-U01,UZLLC-LC-A22-U01,validated_consistent,none,direct_textual_support,keep,Gold unit article title directly matches the question topic: Xodimning majburiyatlari.,model_assisted_internal_consistency_review,no
Q014,Ish beruvchining asosiy mehnatga oid huquqlari nimalardan iborat?,terminology,employment_subjects_rights_duties,test,answerable,UZLLC-LC-A24-U01,UZLLC-LC-A24-U01,validated_consistent,none,direct_textual_support,keep,Gold unit article title directly matches the question topic: Ish beruvchining huquqlari.,model_assisted_internal_consistency_review,no
Q015,Ish beruvchining asosiy majburiyatlari nimalardan iborat?,terminology,employment_subjects_rights_duties,test,answerable,UZLLC-LC-A25-U01,UZLLC-LC-A25-U01,validated_consistent,none,direct_textual_support,keep,Gold unit article title directly matches the question topic: Ish beruvchining majburiyatlari.,model_assisted_internal_consistency_review,no
Q016,Mehnat shartnomasi tushunchasi va taraflari qanday belgilanadi?,terminology,employment_contract_general,test,answerable,UZLLC-LC-A103-U01,UZLLC-LC-A103-U01,validated_consistent,none,direct_textual_support,keep,Gold unit article title directly matches the question topic: Mehnat shartnomasining tushunchasi va taraflari.,model_assisted_internal_consistency_review,no
Q017,Mehnat shartnomasiga kiritilishi shart boʻlgan shartlar qaysilar?,terminology,employment_contract_general,test,answerable,UZLLC-LC-A104-U01,UZLLC-LC-A104-U01,validated_consistent,none,direct_textual_support,keep,Gold unit article title directly matches the question topic: Mehnat shartnomasining mazmuni.,model_assisted_internal_consistency_review,no
Q018,Mehnat shartnomasining qanday shartlari haqiqiy emas deb hisoblanadi?,terminology,employment_contract_general,test,answerable,UZLLC-LC-A105-U01,UZLLC-LC-A105-U01,validated_consistent,none,direct_textual_support,keep,Gold unit article title directly matches the question topic: Mehnat shartnomasi shartlarining haqiqiy emasligi.,model_assisted_internal_consistency_review,no
Q019,Mehnat shartnomasi qanday shaklda tuzilishi kerak?,terminology,employment_contract_general,test,answerable,UZLLC-LC-A106-U01,UZLLC-LC-A106-U01,validated_consistent,none,direct_textual_support,keep,Gold unit article title directly matches the question topic: Mehnat shartnomasining shakli.,model_assisted_internal_consistency_review,no
