method,question_id,question_text,question_type,legal_topic,answerability,gold_corpus_ids,rank,retrieved_corpus_id,score,hit,retrieved_article_number,retrieved_unit_number,retrieved_answer_source,retrieved_text
TF-IDF+LSA,Q013,Xodimning asosiy mehnat majburiyatlari qaysilar?,terminology,employment_subjects_rights_duties,answerable,UZLLC-LC-A22-U01,1,UZLLC-LC-A3-U01,0.4806846071304955,False,3,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 3-modda, U01","Yakka tartibdagi mehnatga oid munosabatlarni va ular bilan bevosita bogʻliq boʻlgan ijtimoiy munosabatlarni huquqiy jihatdan tartibga solishning asosiy prinsiplari quyidagilardan iborat: mehnat huquqlarining tengligi, mehnat va mashgʻulotlar sohasida kamsitishni taqiqlash; mehnat erkinligi va majburiy mehnatni taqiqlash; mehnat sohasidagi ijtimoiy sheriklik; mehnat huquqlari taʼminlanishining va mehnat majburiyatlari bajarilishining kafolatlanganligi; xodimning huquqiy holati yomonlashishiga yoʻ"
TF-IDF+LSA,Q013,Xodimning asosiy mehnat majburiyatlari qaysilar?,terminology,employment_subjects_rights_duties,answerable,UZLLC-LC-A22-U01,2,UZLLC-LC-A216-U01,0.43879191070237566,False,216,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 216-modda, U01","Har yilgi mehnat taʼtili dam olish va ishlash qobiliyatini tiklash uchun ish oʻrni (lavozimi) hamda oʻrtacha ish haqi saqlab qolingan holda xodim ishdan ozod etiladigan, xodimga har yili ish yili davomida beriladigan vaqt davridir. Barcha xodimlar, shu jumladan oʻrindoshlik asosida ishlaydigan xodimlar har yilgi mehnat taʼtiliga chiqish huquqiga ega. Har yilgi mehnat taʼtilining turlari quyidagilardan iborat: asosiy mehnat taʼtili (har yilgi asosiy eng kam yoki har yilgi asosiy uzaytirilgan); us"
TF-IDF+LSA,Q013,Xodimning asosiy mehnat majburiyatlari qaysilar?,terminology,employment_subjects_rights_duties,answerable,UZLLC-LC-A22-U01,3,UZLLC-LC-A217-U01,0.364563110039994,False,217,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 217-modda, U01",Har yilgi asosiy eng kam mehnat taʼtilining davomiyligi yigirma bir kalendar kunni tashkil etadi.
TF-IDF+LSA,Q013,Xodimning asosiy mehnat majburiyatlari qaysilar?,terminology,employment_subjects_rights_duties,answerable,UZLLC-LC-A22-U01,4,UZLLC-LC-A234-U01,0.3120069845969918,False,234,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 234-modda, U01","Mehnat shartnomasi bekor qilinganda xodimga barcha foydalanilmagan har yilgi asosiy va qoʻshimcha mehnat taʼtillari uchun pulli kompensatsiya toʻlanadi. Xodimlarga ish davrida ularning xohishiga koʻra har yilgi mehnat taʼtili uchun taʼtilning ushbu Kodeksning 217-moddasida belgilangan eng kam davomiyligidan tashqari pulli kompensatsiya toʻlanishi mumkin. Pulli kompensatsiya toʻlashda yakshanba kuni inobatga olinmaydi. Oʻn sakkiz yoshga toʻlmagan xodimlarga, I yoki II guruh nogironligi boʻlgan xo"
TF-IDF+LSA,Q013,Xodimning asosiy mehnat majburiyatlari qaysilar?,terminology,employment_subjects_rights_duties,answerable,UZLLC-LC-A22-U01,5,UZLLC-LC-A226-U01,0.2993232099627764,False,226,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 226-modda, U01","Har yilgi asosiy mehnat taʼtilini va bitta tashkilotda yoki tarmoqda koʻp yillik ish staji uchun qoʻshimcha taʼtil olish huquqini beruvchi ish staji jumlasiga quyidagilar kiradi: ish yili davomida haqiqatda ishlangan vaqt; xodim haqiqatda ishlamagan, lekin mehnat toʻgʻrisidagi qonunchilikka va mehnat haqidagi boshqa huquqiy hujjatlarga, mehnat shartnomasiga muvofiq uning ish oʻrni (lavozimi) saqlangan vaqt, shu jumladan har yilgi mehnat taʼtili vaqti, dam olish kunlari, ishlanmaydigan bayram kun"
TF-IDF+LSA,Q013,Xodimning asosiy mehnat majburiyatlari qaysilar?,terminology,employment_subjects_rights_duties,answerable,UZLLC-LC-A22-U01,6,UZLLC-LC-A222-U01,0.29028013410221376,False,222,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 222-modda, U01","Har yilgi mehnat taʼtilining umumiy davomiyligini hisoblab chiqarishda qoʻshimcha taʼtillar har yilgi asosiy eng kam taʼtil yoki har yilgi asosiy uzaytirilgan taʼtilga qoʻshib jamlanadi. Barcha hollarda qonunchilik bilan belgilangan taʼtillarni jamlashda ularning davomiyligi bir ish yili uchun ellik olti kalendar kundan oshib ketishi mumkin emas. Ushbu moddaning ikkinchi qismida nazarda tutilgan cheklov qonunchilikda nazarda tutilmagan, jamoa kelishuvlarida, shuningdek jamoa shartnomasida, ish b"
TF-IDF+LSA,Q013,Xodimning asosiy mehnat majburiyatlari qaysilar?,terminology,employment_subjects_rights_duties,answerable,UZLLC-LC-A22-U01,7,UZLLC-LC-A250-U01,0.26221024433348794,False,250,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 250-modda, U01","Mehnatga haq toʻlashning tarifli tizimi turli toifadagi xodimlarning ish haqini differensiyalashning tarifli tizimiga asoslangan mehnatga haq toʻlash tizimidir. Tarifli tizim tarif setkasini, tarif stavkalarini (maoshlarni), tarif razryadlarini, tarif koeffitsiyentlarini oʻz ichiga oladi. Tarif setkasi ishning murakkabligiga va xodimlarning malakasiga doir talablarga qarab tarif koeffitsiyentlari yordamida belgilangan ishlar (kasblar, lavozimlar) tarif razryadlarining majmuidir. Tarif razryadi i"
TF-IDF+LSA,Q013,Xodimning asosiy mehnat majburiyatlari qaysilar?,terminology,employment_subjects_rights_duties,answerable,UZLLC-LC-A22-U01,8,UZLLC-LC-A218-U01,0.23073793890374175,False,218,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 218-modda, U01","Quyidagilarga yoshi va sogʻligʻining holati hisobga olingan holda har yilgi asosiy uzaytirilgan taʼtil beriladi: oʻn sakkiz yoshgacha boʻlgan shaxslarga — oʻttiz kalendar kun; I va II guruh nogironligi boʻlgan xodimlarga — oʻttiz kalendar kun. Davlat hokimiyati organlari va respublika ijro etuvchi hokimiyat organlari xodimlariga davomiyligi yigirma yetti kalendar kun boʻlgan har yilgi asosiy uzaytirilgan taʼtil beriladi, bundan xodimlarning ayrim toifalari uchun qonunda har yilgi asosiy uzaytiri"
TF-IDF+LSA,Q013,Xodimning asosiy mehnat majburiyatlari qaysilar?,terminology,employment_subjects_rights_duties,answerable,UZLLC-LC-A22-U01,9,UZLLC-LC-A170-U01,0.22391017543214764,False,170,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 170-modda, U01","Mehnat shartnomasini bekor qilish ishga qabul qilish huquqiga ega boʻlgan shaxslar tomonidan amalga oshiriladi va ish beruvchining buyrugʻi bilan rasmiylashtiriladi. Oxirgi ish kuni mehnat shartnomasi bekor qilingan kundir. Agar oxirgi ish kuni dam olish kuniga yoxud ishlanmaydigan bayram kuniga yoki boshqa ishlanmaydigan kunga toʻgʻri kelsa, undan keyin keladigan birinchi ish kuni oxirgi ish kuni deb hisoblanadi. Ish beruvchining buyrugʻida mehnat shartnomasini bekor qilish asoslari ushbu Kodek"
TF-IDF+LSA,Q013,Xodimning asosiy mehnat majburiyatlari qaysilar?,terminology,employment_subjects_rights_duties,answerable,UZLLC-LC-A22-U01,10,UZLLC-LC-A270-U01,0.21736507047750292,False,270,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 270-modda, U01","Har bir toʻlov chogʻida ish haqidan ushlab qolingan mablagʻlarning umumiy summasi xodimga haqiqatda hisoblangan ish haqining ellik foizidan oshishi mumkin emas. Ushbu moddaning birinchi qismida belgilangan cheklov aliment majburiyatlari boʻyicha qarzdorlikni, shuningdek axloq tuzatish ishlari tarzida jazo tayinlangan xodimning ish haqini ushlab qolishga nisbatan tatbiq etilmaydi. Bunday hollarda jazodan va aliment majburiyatlari boʻyicha qarzdorlikdan ushlab qolish miqdori xodimga haqiqatda hiso"
TF-IDF+LSA,Q014,Ish beruvchining asosiy mehnatga oid huquqlari nimalardan iborat?,terminology,employment_subjects_rights_duties,answerable,UZLLC-LC-A24-U01,1,UZLLC-LC-A3-U01,0.47527625445115423,False,3,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 3-modda, U01","Yakka tartibdagi mehnatga oid munosabatlarni va ular bilan bevosita bogʻliq boʻlgan ijtimoiy munosabatlarni huquqiy jihatdan tartibga solishning asosiy prinsiplari quyidagilardan iborat: mehnat huquqlarining tengligi, mehnat va mashgʻulotlar sohasida kamsitishni taqiqlash; mehnat erkinligi va majburiy mehnatni taqiqlash; mehnat sohasidagi ijtimoiy sheriklik; mehnat huquqlari taʼminlanishining va mehnat majburiyatlari bajarilishining kafolatlanganligi; xodimning huquqiy holati yomonlashishiga yoʻ"
TF-IDF+LSA,Q014,Ish beruvchining asosiy mehnatga oid huquqlari nimalardan iborat?,terminology,employment_subjects_rights_duties,answerable,UZLLC-LC-A24-U01,2,UZLLC-LC-A2-U01,0.37663294195033703,False,2,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 2-modda, U01","Ushbu Kodeksning asosiy vazifalari quyidagilardan iborat: xodimlar mehnat huquqlari va erkinliklarining, shu jumladan mehnat qilishga, erkin ish tanlashga, adolatli va xavfsiz mehnat sharoitlariga hamda ishsizlikdan himoyalanishga boʻlgan huquqining davlat kafolatlarini belgilash; ish beruvchilarning kadrlarni tanlash, joy-joyiga qoʻyish va samarali mehnat jarayonini tashkil etish sohasidagi huquqlari amalga oshirilishini taʼminlash; mehnat sohasida ijtimoiy sheriklikni ragʻbatlantirish va rivoj"
TF-IDF+LSA,Q014,Ish beruvchining asosiy mehnatga oid huquqlari nimalardan iborat?,terminology,employment_subjects_rights_duties,answerable,UZLLC-LC-A24-U01,3,UZLLC-LC-A20-U01,0.36138550601407216,False,20,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 20-modda, U01","Mehnat huquqlari va majburiyatlariga ega boʻlish layoqati (mehnatga oid huquq layoqati) hamda fuqaroning (jismoniy shaxsning) oʻz xatti-harakatlari orqali mehnat huquqlariga ega boʻlish va ularni amalga oshirish, oʻzi uchun mehnat majburiyatlarini olish va ularni bajarish layoqati (mehnatga oid muomala layoqati) Oʻzbekiston Respublikasining barcha fuqarolari uchun teng ravishda eʼtirof etiladi. Chet el fuqarolari, fuqaroligi boʻlmagan shaxslar, agar Oʻzbekiston Respublikasining qonunchiligida yo"
