method,question_id,question_text,question_type,legal_topic,answerability,gold_corpus_ids,rank,retrieved_corpus_id,score,hit,retrieved_article_number,retrieved_unit_number,retrieved_answer_source,retrieved_text
BM25+LSA hybrid,Q013,Xodimning asosiy mehnat majburiyatlari qaysilar?,terminology,employment_subjects_rights_duties,answerable,UZLLC-LC-A22-U01,1,UZLLC-LC-A3-U01,1.0,False,3,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 3-modda, U01","Yakka tartibdagi mehnatga oid munosabatlarni va ular bilan bevosita bogʻliq boʻlgan ijtimoiy munosabatlarni huquqiy jihatdan tartibga solishning asosiy prinsiplari quyidagilardan iborat: mehnat huquqlarining tengligi, mehnat va mashgʻulotlar sohasida kamsitishni taqiqlash; mehnat erkinligi va majburiy mehnatni taqiqlash; mehnat sohasidagi ijtimoiy sheriklik; mehnat huquqlari taʼminlanishining va mehnat majburiyatlari bajarilishining kafolatlanganligi; xodimning huquqiy holati yomonlashishiga yoʻ"
BM25+LSA hybrid,Q013,Xodimning asosiy mehnat majburiyatlari qaysilar?,terminology,employment_subjects_rights_duties,answerable,UZLLC-LC-A22-U01,2,UZLLC-LC-A216-U01,0.7214643133502046,False,216,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 216-modda, U01","Har yilgi mehnat taʼtili dam olish va ishlash qobiliyatini tiklash uchun ish oʻrni (lavozimi) hamda oʻrtacha ish haqi saqlab qolingan holda xodim ishdan ozod etiladigan, xodimga har yili ish yili davomida beriladigan vaqt davridir. Barcha xodimlar, shu jumladan oʻrindoshlik asosida ishlaydigan xodimlar har yilgi mehnat taʼtiliga chiqish huquqiga ega. Har yilgi mehnat taʼtilining turlari quyidagilardan iborat: asosiy mehnat taʼtili (har yilgi asosiy eng kam yoki har yilgi asosiy uzaytirilgan); us"
BM25+LSA hybrid,Q013,Xodimning asosiy mehnat majburiyatlari qaysilar?,terminology,employment_subjects_rights_duties,answerable,UZLLC-LC-A22-U01,3,UZLLC-LC-A217-U01,0.6912257981088985,False,217,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 217-modda, U01",Har yilgi asosiy eng kam mehnat taʼtilining davomiyligi yigirma bir kalendar kunni tashkil etadi.
BM25+LSA hybrid,Q013,Xodimning asosiy mehnat majburiyatlari qaysilar?,terminology,employment_subjects_rights_duties,answerable,UZLLC-LC-A22-U01,4,UZLLC-LC-A270-U01,0.5901688773548506,False,270,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 270-modda, U01","Har bir toʻlov chogʻida ish haqidan ushlab qolingan mablagʻlarning umumiy summasi xodimga haqiqatda hisoblangan ish haqining ellik foizidan oshishi mumkin emas. Ushbu moddaning birinchi qismida belgilangan cheklov aliment majburiyatlari boʻyicha qarzdorlikni, shuningdek axloq tuzatish ishlari tarzida jazo tayinlangan xodimning ish haqini ushlab qolishga nisbatan tatbiq etilmaydi. Bunday hollarda jazodan va aliment majburiyatlari boʻyicha qarzdorlikdan ushlab qolish miqdori xodimga haqiqatda hiso"
BM25+LSA hybrid,Q013,Xodimning asosiy mehnat majburiyatlari qaysilar?,terminology,employment_subjects_rights_duties,answerable,UZLLC-LC-A22-U01,5,UZLLC-LC-A222-U01,0.5898443908439799,False,222,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 222-modda, U01","Har yilgi mehnat taʼtilining umumiy davomiyligini hisoblab chiqarishda qoʻshimcha taʼtillar har yilgi asosiy eng kam taʼtil yoki har yilgi asosiy uzaytirilgan taʼtilga qoʻshib jamlanadi. Barcha hollarda qonunchilik bilan belgilangan taʼtillarni jamlashda ularning davomiyligi bir ish yili uchun ellik olti kalendar kundan oshib ketishi mumkin emas. Ushbu moddaning ikkinchi qismida nazarda tutilgan cheklov qonunchilikda nazarda tutilmagan, jamoa kelishuvlarida, shuningdek jamoa shartnomasida, ish b"
BM25+LSA hybrid,Q013,Xodimning asosiy mehnat majburiyatlari qaysilar?,terminology,employment_subjects_rights_duties,answerable,UZLLC-LC-A22-U01,6,UZLLC-LC-A218-U01,0.5538414426684775,False,218,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 218-modda, U01","Quyidagilarga yoshi va sogʻligʻining holati hisobga olingan holda har yilgi asosiy uzaytirilgan taʼtil beriladi: oʻn sakkiz yoshgacha boʻlgan shaxslarga — oʻttiz kalendar kun; I va II guruh nogironligi boʻlgan xodimlarga — oʻttiz kalendar kun. Davlat hokimiyati organlari va respublika ijro etuvchi hokimiyat organlari xodimlariga davomiyligi yigirma yetti kalendar kun boʻlgan har yilgi asosiy uzaytirilgan taʼtil beriladi, bundan xodimlarning ayrim toifalari uchun qonunda har yilgi asosiy uzaytiri"
BM25+LSA hybrid,Q013,Xodimning asosiy mehnat majburiyatlari qaysilar?,terminology,employment_subjects_rights_duties,answerable,UZLLC-LC-A22-U01,7,UZLLC-LC-A22-U01,0.5432864225629761,True,22,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 22-modda, U01","Xodim: mehnat toʻgʻrisidagi qonunchilikka va mehnat haqidagi boshqa huquqiy hujjatlarga, mehnat shartnomalari shartlariga rioya etishi; mehnat shartnomasi bilan oʻz zimmasiga yuklatilgan mehnat majburiyatlarini vijdonan bajarishi; ichki mehnat tartibiga rioya etishi; mehnat intizomiga rioya etishi; belgilangan mehnat normalarini bajarishi; mehnatni muhofaza qilish talablariga, texnologiya intizomiga, mehnat xavfsizligi va ishlab chiqarish sanitariyasi qoidalariga rioya etishi; ish beruvchining m"
BM25+LSA hybrid,Q013,Xodimning asosiy mehnat majburiyatlari qaysilar?,terminology,employment_subjects_rights_duties,answerable,UZLLC-LC-A22-U01,8,UZLLC-LC-A234-U01,0.5335442090486002,False,234,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 234-modda, U01","Mehnat shartnomasi bekor qilinganda xodimga barcha foydalanilmagan har yilgi asosiy va qoʻshimcha mehnat taʼtillari uchun pulli kompensatsiya toʻlanadi. Xodimlarga ish davrida ularning xohishiga koʻra har yilgi mehnat taʼtili uchun taʼtilning ushbu Kodeksning 217-moddasida belgilangan eng kam davomiyligidan tashqari pulli kompensatsiya toʻlanishi mumkin. Pulli kompensatsiya toʻlashda yakshanba kuni inobatga olinmaydi. Oʻn sakkiz yoshga toʻlmagan xodimlarga, I yoki II guruh nogironligi boʻlgan xo"
BM25+LSA hybrid,Q013,Xodimning asosiy mehnat majburiyatlari qaysilar?,terminology,employment_subjects_rights_duties,answerable,UZLLC-LC-A22-U01,9,UZLLC-LC-A2-U01,0.5236923883992074,False,2,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 2-modda, U01","Ushbu Kodeksning asosiy vazifalari quyidagilardan iborat: xodimlar mehnat huquqlari va erkinliklarining, shu jumladan mehnat qilishga, erkin ish tanlashga, adolatli va xavfsiz mehnat sharoitlariga hamda ishsizlikdan himoyalanishga boʻlgan huquqining davlat kafolatlarini belgilash; ish beruvchilarning kadrlarni tanlash, joy-joyiga qoʻyish va samarali mehnat jarayonini tashkil etish sohasidagi huquqlari amalga oshirilishini taʼminlash; mehnat sohasida ijtimoiy sheriklikni ragʻbatlantirish va rivoj"
BM25+LSA hybrid,Q013,Xodimning asosiy mehnat majburiyatlari qaysilar?,terminology,employment_subjects_rights_duties,answerable,UZLLC-LC-A22-U01,10,UZLLC-LC-A250-U01,0.4902632851061741,False,250,1,"Oʻzbekiston Respublikasining Mehnat kodeksi, 250-modda, U01","Mehnatga haq toʻlashning tarifli tizimi turli toifadagi xodimlarning ish haqini differensiyalashning tarifli tizimiga asoslangan mehnatga haq toʻlash tizimidir. Tarifli tizim tarif setkasini, tarif stavkalarini (maoshlarni), tarif razryadlarini, tarif koeffitsiyentlarini oʻz ichiga oladi. Tarif setkasi ishning murakkabligiga va xodimlarning malakasiga doir talablarga qarab tarif koeffitsiyentlari yordamida belgilangan ishlar (kasblar, lavozimlar) tarif razryadlarining majmuidir. Tarif razryadi i"
