method,question_id,question_text,gold_corpus_ids,top1_retrieved_corpus_id,top1_answer_source,error_type,explanation
BM25,Q013,Xodimning asosiy mehnat majburiyatlari qaysilar?,UZLLC-LC-A22-U01,UZLLC-LC-A3-U01,"Oʻzbekiston Respublikasining Mehnat kodeksi, 3-modda, U01",top3_miss,The correct gold unit was not ranked in the top 3; terminology may overlap with a different provision.
BM25,Q014,Ish beruvchining asosiy mehnatga oid huquqlari nimalardan iborat?,UZLLC-LC-A24-U01,UZLLC-LC-A3-U01,"Oʻzbekiston Respublikasining Mehnat kodeksi, 3-modda, U01",top3_miss,The correct gold unit was not ranked in the top 3; terminology may overlap with a different provision.
BM25,Q015,Ish beruvchining asosiy majburiyatlari nimalardan iborat?,UZLLC-LC-A25-U01,UZLLC-LC-A3-U01,"Oʻzbekiston Respublikasining Mehnat kodeksi, 3-modda, U01",top3_miss,The correct gold unit was not ranked in the top 3; terminology may overlap with a different provision.
BM25,Q019,Mehnat shartnomasi qanday shaklda tuzilishi kerak?,UZLLC-LC-A106-U01,UZLLC-LC-A173-U05,"Oʻzbekiston Respublikasining Mehnat kodeksi, 173-modda, U05",top3_miss,The correct gold unit was not ranked in the top 3; terminology may overlap with a different provision.
BM25,Q039,Xodim oʻz tashabbusi bilan mehnat shartnomasini bekor qilishda qancha oldin ogohlantirishi kerak?,UZLLC-LC-A160-U01,UZLLC-LC-A132-U01,"Oʻzbekiston Respublikasining Mehnat kodeksi, 132-modda, U01",top3_miss,The correct gold unit was not ranked in the top 3; terminology may overlap with a different provision.
BM25,Q042,Mehnat shartnomasi bekor qilinganda xodimga tegishli summalar qachon toʻlanadi?,UZLLC-LC-A172-U03,UZLLC-LC-A254-U02,"Oʻzbekiston Respublikasining Mehnat kodeksi, 254-modda, U02",top3_miss,The correct gold unit was not ranked in the top 3; terminology may overlap with a different provision.
BM25,Q062,Yillik taʼtilni qismlarga boʻlib olish mumkinmi?,UZLLC-LC-A231-U01,UZLLC-LC-A402-U01,"Oʻzbekiston Respublikasining Mehnat kodeksi, 402-modda, U01",top3_miss,The correct gold unit was not ranked in the top 3; terminology may overlap with a different provision.
BM25,Q065,Ishdan ketayotganda foydalanilmagan taʼtilim qanday hisobga olinadi?,UZLLC-LC-A235-U01,UZLLC-LC-A200-U01,"Oʻzbekiston Respublikasining Mehnat kodeksi, 200-modda, U01",top3_miss,The correct gold unit was not ranked in the top 3; terminology may overlap with a different provision.
BM25,Q067,Mehnatga haq toʻlash va ish haqi bir xil tushunchami yoki alohida tariflanadimi?,UZLLC-LC-A243-U01,UZLLC-LC-A249-U01,"Oʻzbekiston Respublikasining Mehnat kodeksi, 249-modda, U01",top3_miss,The correct gold unit was not ranked in the top 3; terminology may overlap with a different provision.
BM25,Q069,Eng kam ish haqi qonunda qanday belgilanadi?,UZLLC-LC-A245-U01,UZLLC-CON-A42-U01,"Oʻzbekiston Respublikasi Konstitutsiyasi, 42-modda, U01",top3_miss,The correct gold unit was not ranked in the top 3; terminology may overlap with a different provision.
TF-IDF+LSA,Q013,Xodimning asosiy mehnat majburiyatlari qaysilar?,UZLLC-LC-A22-U01,UZLLC-LC-A3-U01,"Oʻzbekiston Respublikasining Mehnat kodeksi, 3-modda, U01",top3_miss,The correct gold unit was not ranked in the top 3; terminology may overlap with a different provision.
TF-IDF+LSA,Q014,Ish beruvchining asosiy mehnatga oid huquqlari nimalardan iborat?,UZLLC-LC-A24-U01,UZLLC-LC-A3-U01,"Oʻzbekiston Respublikasining Mehnat kodeksi, 3-modda, U01",top3_miss,The correct gold unit was not ranked in the top 3; terminology may overlap with a different provision.
TF-IDF+LSA,Q015,Ish beruvchining asosiy majburiyatlari nimalardan iborat?,UZLLC-LC-A25-U01,UZLLC-LC-A161-U01,"Oʻzbekiston Respublikasining Mehnat kodeksi, 161-modda, U01",top3_miss,The correct gold unit was not ranked in the top 3; terminology may overlap with a different provision.
TF-IDF+LSA,Q018,Mehnat shartnomasining qanday shartlari haqiqiy emas deb hisoblanadi?,UZLLC-LC-A105-U01,UZLLC-LC-A203-U01,"Oʻzbekiston Respublikasining Mehnat kodeksi, 203-modda, U01",top3_miss,The correct gold unit was not ranked in the top 3; terminology may overlap with a different provision.
TF-IDF+LSA,Q019,Mehnat shartnomasi qanday shaklda tuzilishi kerak?,UZLLC-LC-A106-U01,UZLLC-LC-A173-U05,"Oʻzbekiston Respublikasining Mehnat kodeksi, 173-modda, U05",top3_miss,The correct gold unit was not ranked in the top 3; terminology may overlap with a different provision.
TF-IDF+LSA,Q028,Dastlabki sinov sharti mehnat shartnomasida koʻrsatilmagan boʻlsa nima boʻladi?,UZLLC-LC-A129-U02,UZLLC-LC-A129-U04,"Oʻzbekiston Respublikasining Mehnat kodeksi, 129-modda, U04",top3_miss,The correct gold unit was not ranked in the top 3; terminology may overlap with a different provision.
TF-IDF+LSA,Q029,Qaysi shaxslar ishga qabul qilinganda dastlabki sinov belgilanmaydi?,UZLLC-LC-A129-U03,UZLLC-LC-A129-U04,"Oʻzbekiston Respublikasining Mehnat kodeksi, 129-modda, U04",top3_miss,The correct gold unit was not ranked in the top 3; terminology may overlap with a different provision.
TF-IDF+LSA,Q031,Dastlabki sinov natijasi boʻyicha mehnat shartnomasi qanday tartibda bekor qilinishi mumkin?,UZLLC-LC-A132-U01,UZLLC-LC-A129-U04,"Oʻzbekiston Respublikasining Mehnat kodeksi, 129-modda, U04",top3_miss,The correct gold unit was not ranked in the top 3; terminology may overlap with a different provision.
TF-IDF+LSA,Q039,Xodim oʻz tashabbusi bilan mehnat shartnomasini bekor qilishda qancha oldin ogohlantirishi kerak?,UZLLC-LC-A160-U01,UZLLC-LC-A132-U01,"Oʻzbekiston Respublikasining Mehnat kodeksi, 132-modda, U01",top3_miss,The correct gold unit was not ranked in the top 3; terminology may overlap with a different provision.
TF-IDF+LSA,Q065,Ishdan ketayotganda foydalanilmagan taʼtilim qanday hisobga olinadi?,UZLLC-LC-A235-U01,UZLLC-LC-A200-U01,"Oʻzbekiston Respublikasining Mehnat kodeksi, 200-modda, U01",top3_miss,The correct gold unit was not ranked in the top 3; terminology may overlap with a different provision.
BM25+LSA hybrid,Q013,Xodimning asosiy mehnat majburiyatlari qaysilar?,UZLLC-LC-A22-U01,UZLLC-LC-A3-U01,"Oʻzbekiston Respublikasining Mehnat kodeksi, 3-modda, U01",top3_miss,The correct gold unit was not ranked in the top 3; terminology may overlap with a different provision.
BM25+LSA hybrid,Q014,Ish beruvchining asosiy mehnatga oid huquqlari nimalardan iborat?,UZLLC-LC-A24-U01,UZLLC-LC-A3-U01,"Oʻzbekiston Respublikasining Mehnat kodeksi, 3-modda, U01",top3_miss,The correct gold unit was not ranked in the top 3; terminology may overlap with a different provision.
BM25+LSA hybrid,Q015,Ish beruvchining asosiy majburiyatlari nimalardan iborat?,UZLLC-LC-A25-U01,UZLLC-LC-A3-U01,"Oʻzbekiston Respublikasining Mehnat kodeksi, 3-modda, U01",top3_miss,The correct gold unit was not ranked in the top 3; terminology may overlap with a different provision.
BM25+LSA hybrid,Q018,Mehnat shartnomasining qanday shartlari haqiqiy emas deb hisoblanadi?,UZLLC-LC-A105-U01,UZLLC-LC-A203-U01,"Oʻzbekiston Respublikasining Mehnat kodeksi, 203-modda, U01",top3_miss,The correct gold unit was not ranked in the top 3; terminology may overlap with a different provision.
BM25+LSA hybrid,Q019,Mehnat shartnomasi qanday shaklda tuzilishi kerak?,UZLLC-LC-A106-U01,UZLLC-LC-A173-U05,"Oʻzbekiston Respublikasining Mehnat kodeksi, 173-modda, U05",top3_miss,The correct gold unit was not ranked in the top 3; terminology may overlap with a different provision.
BM25+LSA hybrid,Q039,Xodim oʻz tashabbusi bilan mehnat shartnomasini bekor qilishda qancha oldin ogohlantirishi kerak?,UZLLC-LC-A160-U01,UZLLC-LC-A132-U01,"Oʻzbekiston Respublikasining Mehnat kodeksi, 132-modda, U01",top3_miss,The correct gold unit was not ranked in the top 3; terminology may overlap with a different provision.
BM25+LSA hybrid,Q042,Mehnat shartnomasi bekor qilinganda xodimga tegishli summalar qachon toʻlanadi?,UZLLC-LC-A172-U03,UZLLC-LC-A254-U02,"Oʻzbekiston Respublikasining Mehnat kodeksi, 254-modda, U02",top3_miss,The correct gold unit was not ranked in the top 3; terminology may overlap with a different provision.
BM25+LSA hybrid,Q065,Ishdan ketayotganda foydalanilmagan taʼtilim qanday hisobga olinadi?,UZLLC-LC-A235-U01,UZLLC-LC-A200-U01,"Oʻzbekiston Respublikasining Mehnat kodeksi, 200-modda, U01",top3_miss,The correct gold unit was not ranked in the top 3; terminology may overlap with a different provision.
BM25+LSA hybrid,Q069,Eng kam ish haqi qonunda qanday belgilanadi?,UZLLC-LC-A245-U01,UZLLC-CON-A42-U01,"Oʻzbekiston Respublikasi Konstitutsiyasi, 42-modda, U01",top3_miss,The correct gold unit was not ranked in the top 3; terminology may overlap with a different provision.
BM25+LSA hybrid,Q081,Ish beruvchi xavfsiz va gigiyenik mehnat sharoitini taʼminlashi kerakmi?,UZLLC-LC-A352-U01,UZLLC-LC-A214-U01,"Oʻzbekiston Respublikasining Mehnat kodeksi, 214-modda, U01",top3_miss,The correct gold unit was not ranked in the top 3; terminology may overlap with a different provision.
